> print(ans_data)
     answers         freq
748    flack 3.044330e-06
749    flail 3.080808e-06
750    flair 1.290540e-05
751    flake 3.952736e-05
752    flaky 3.279887e-06
753    flame 1.178728e-04
754    flank 3.952736e-05
755    flare 2.859613e-05
756    flash 1.017970e-04
757    flask 2.866702e-05
758    fleck 4.310749e-06
759    fleet 1.928970e-04
760    flesh 1.521072e-04
761    flick 1.030554e-05
762    flier 5.328348e-06
763    fling 8.864488e-06
764    flint 5.074634e-05
765    flirt 4.989381e-06
766    float 6.442151e-05
767    flock 3.996904e-05
768    flood 2.528068e-04
769    floor 7.546003e-04
770    flora 9.192889e-05
771    floss 6.765916e-06
772    flour 1.090170e-04
773    flout 2.090524e-06
774    flown 3.693095e-05
775    fluff 4.622590e-06
776    fluid 4.961997e-04
777    fluke 6.349597e-06
778    flume 5.466322e-06
779    flung 3.023638e-05
780    flunk 1.025085e-06
781    flush 4.962596e-05
782    flute 3.827553e-05
783    flyer 1.497821e-05
784    foamy 3.184228e-06
785    focal 1.116920e-04
786    focus 9.330783e-04
787    foggy 6.739263e-06
788    foist 1.298932e-06
789    folio 2.513520e-05
790    folly 3.007510e-05
791    foray 6.602738e-06
792    force 2.112246e-03
793    forge 4.294036e-05
794    forgo 9.643070e-06
795    forte 1.451330e-05
796    forth 6.027247e-04
797    forty 2.766958e-04
798    forum 2.745768e-04
799    found 3.770903e-03
800    foyer 1.201381e-05
801    frail 2.424317e-05
802    frame 4.724482e-04
803    frank 4.093852e-04
804    fraud 2.435015e-04
805    freak 1.024945e-05
806    freed 6.576526e-05
807    freer 1.864490e-05
808    fresh 4.611840e-04
809    friar 1.192542e-05
810    fried 4.688877e-05
811    frill 1.894034e-06
812    frisk 3.250009e-06
813    fritz 3.313269e-05
814    frock 5.187269e-06
815    frond 2.953235e-06
816    front 1.069734e-03
817    frost 8.494196e-05
818    froth 6.548029e-06
819    frown 1.558313e-05
820    froze 1.738630e-05
821    fruit 3.872546e-04
822    fudge 8.040470e-06
823    fugue 9.140675e-06
824    fully 8.385518e-04
825    fungi 7.197601e-05
826    funky 5.236271e-06
827    funny 9.037730e-05
828    furor 4.808218e-06
829    furry 5.950493e-06
830    fussy 5.263574e-06
831    fuzzy 1.097026e-04
832    gaffe 1.105088e-06
833    gaily 5.139296e-06
834    gamer 2.737480e-06
835    gamma 1.116032e-04
836    gamut 1.107573e-05
837    gassy 1.134935e-06
838    gaudy 5.902710e-06
839    gauge 1.255346e-04
840    gaunt 1.149062e-05
841    gauze 1.275798e-05
842    gavel 4.305037e-06
843    gawky 9.516074e-07
844    gayer 9.806600e-07
845    gayly 3.493614e-07
846    gazer 5.708595e-07
847    gecko 2.151392e-06
848    geeky 2.834628e-07
849    geese 2.736205e-05
850    genie 1.062632e-05
851    genre 1.025521e-04
852    ghost 8.719988e-05
853    ghoul 1.152273e-06
854    giant 1.601257e-04
855    giddy 6.432113e-06
856    gipsy 2.456354e-06
857    girly 3.705981e-07
858    girth 8.286087e-06
859    given 3.671966e-03
860    giver 1.441282e-05
861    glade 5.646317e-06
862    gland 8.171554e-05
863    glare 2.507014e-05
864    glass 6.757681e-04
865    glaze 2.366728e-05
866    gleam 1.094719e-05
867    glean 4.943051e-06
868    glide 1.897332e-05
869    glint 6.317550e-06
870    gloat 1.584140e-06
871    globe 1.029130e-04
872    gloom 2.080982e-05
